Digit Oi Pi 
1 111 0.301 
2 60  0.176 
3 46  0.125 
4 29  0.097 
5 26  0.079 
6 22  0.067 
7 21  0.058 
8 20  0.051 
9 20  0.046 























